holding_id,slug,title_hk,detected_license,rights_lane,package_path,next_action
HLD-AMB-AMARUSHATAKAM-20260512,amarushatakam,amaruzatakam,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/amarushatakam,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
HLD-AMB-BHATTIKAVYAM-20260512,bhattikavyam,bhaTTikAvyam,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/bhattikavyam,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
HLD-AMB-BODHICARYAVATARA-20260512,bodhicaryavatara,bodhicaryAvatAraH,CC-BY-NC-SA,INTERNAL_RESEARCH,acquisitions/restricted/ambuda/2026-05-12/bodhicaryavatara,Keep in restricted research storage and seek commercial permission or a separately reusable public-domain source edition.
HLD-AMB-CATUHSHLOKI-20260512,catuhshloki,catuHzlokI,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/catuhshloki,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
HLD-AMB-CAURAPANCASHIKA-20260512,caurapancashika,caurapaJcAzikA,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/caurapancashika,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
HLD-AMB-HAMSADUTAM-20260512,hamsadutam,haMsadUtam,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/hamsadutam,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
HLD-AMB-KIRATARJUNIYAM-20260512,kiratarjuniyam,kirAtArjunIyam,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/kiratarjuniyam,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
HLD-AMB-KOKILASANDESHA-20260512,kokilasandesha,kokilasaMdezaH,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/kokilasandesha,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
HLD-AMB-KUMARASAMBHAVAM-20260512,kumarasambhavam,kumArasambhavam,CC-BY-NC-SA,INTERNAL_RESEARCH,acquisitions/restricted/ambuda/2026-05-12/kumarasambhavam,Keep in restricted research storage and seek commercial permission or a separately reusable public-domain source edition.
HLD-AMB-MAHABHARATAM-20260512,mahabharatam,mahAbhAratam,RIGHTS_BLOCKED,INTERNAL_RESEARCH,acquisitions/restricted/ambuda/2026-05-12/mahabharatam,"Seek a written institutional licence from BORI covering preservation, redistribution, transformation, commercial use, attribution, and the supplementary-passage corpus."
HLD-AMB-MEGHADUTAM-KALE-20260512,meghadutam-kale,meghadUtam,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/meghadutam-kale,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
HLD-AMB-MUKUNDAMALA-20260512,mukundamala,mukundamAlA,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/mukundamala,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
HLD-AMB-RAGHUVAMSHAM-20260512,raghuvamsham,raghuvaMzam,CC-BY-NC-SA,INTERNAL_RESEARCH,acquisitions/restricted/ambuda/2026-05-12/raghuvamsham,Keep in restricted research storage and seek commercial permission or a separately reusable public-domain source edition.
HLD-AMB-RAMAYANAM-20260512,ramayanam,rAmAyaNam,PERMISSION_REQUIRED,INTERNAL_RESEARCH,acquisitions/restricted/ambuda/2026-05-12/ramayanam,"Request written permission from John D. Smith and the M.S. University of Baroda Oriental Institute, clarifying redistribution, modification, commercial use, attribution, and derivative database rights."
HLD-AMB-RTUSAMHARAM-20260512,rtusamharam,RtusaMhAram,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/rtusamharam,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
HLD-AMB-SAUNDARANANDAM-20260512,saundaranandam,saundaranandam,PUBLIC_DOMAIN_HEURISTIC_UNVERIFIED,INTERNAL_RIGHTS_REVIEW,acquisitions/restricted/ambuda/2026-05-12/saundaranandam,Establish edition-level public-domain and contributor rights evidence or obtain permission before public/commercial use.
