carrier_id,cict_item_id,work_family,pdf_url,source_host,http_status,content_type,reported_content_length,final_url,head_error,acquired,relative_path,local_bytes,sha256,pdf_signature_ok,download_error
CICT-C-0001,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (1).pdf,library.cict.in,200,application/pdf,53508832,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(1).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0002,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (2).pdf,library.cict.in,200,application/pdf,15319772,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(2).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0003,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (3).pdf,library.cict.in,200,application/pdf,16948791,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(3).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0004,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (4).pdf,library.cict.in,200,application/pdf,14344682,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(4).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0005,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (5).pdf,library.cict.in,200,application/pdf,13318655,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(5).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0006,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (6).pdf,library.cict.in,200,application/pdf,90864067,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(6).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0007,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (7).pdf,library.cict.in,200,application/pdf,16083110,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(7).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0008,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (8).pdf,library.cict.in,200,application/pdf,141523967,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(8).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0009,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (9).pdf,library.cict.in,200,application/pdf,17218363,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(9).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0010,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (10).pdf,library.cict.in,200,application/pdf,24979578,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(10).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0011,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (11).pdf,library.cict.in,200,application/pdf,32780980,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(11).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0012,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (12).pdf,library.cict.in,200,application/pdf,7998045,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(12).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0013,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (13).pdf,library.cict.in,200,application/pdf,10027649,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(13).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0014,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (14).pdf,library.cict.in,200,application/pdf,6208199,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(14).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0015,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (15).pdf,library.cict.in,200,application/pdf,784318,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(15).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0016,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (16).pdf,library.cict.in,200,application/pdf,15509469,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(16).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
CICT-C-0017,CICT-01,Tolkāppiyam,https://library.cict.in/41rarebooks/TOL-CICT -001 (17).pdf,library.cict.in,200,application/pdf,182409245,https://library.cict.in/41rarebooks/TOL-CICT%20-001%20(17).pdf,,False,,0,,False,DOWNLOAD_NOT_REQUESTED_RIGHTS_RESERVED
