cict_item_id,category_number,work_family,advertised_pdf_carriers,catalogue_claim,rights_lane,agent_can_index_now,source_url,next_action
CICT-01,1,Tolkāppiyam,35,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-1-tol.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-02,2,Naṟṟiṇai,5,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-2-nat.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-03,3,Kuṟuntokai,7,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-3-kuru.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-04,4,Aiṅkuṟunūṟu,5,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-4-ain.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-05,5,Patiṟṟuppattu,7,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-5-pat.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-06,6,ParipāṭalL,2,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-6-pari.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-07,7,Kalittokai,3,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-7-kali.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-08,8,Akanāṉūṟu,5,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-8-akan.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-09,9,Puṟanāṉūṟu,6,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-9-pura.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-10,10,Pattuppāṭṭu,4,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-10-pp.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-11,11,Tirumurukāṟṟuppaṭai,7,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-11-tpadai.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-12,12,Porunarāṟṟuppaṭai,2,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-12-ppadai.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-13,13,Ciṟupāṇāṟṟuppaṭai,2,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-13-cpadai.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-14,14,Perumpāṇāṟṟuppaṭai,2,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-14-pppadai.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-15,15,Mullaippāṭṭu,2,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-15-mullai.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-16,16,Maturaikkāñci,1,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-16-madurai.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-17,17,Neṭunalvāṭai,2,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-17-nedu.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-18,18,Kuṟiñcippāṭṭu,1,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-18-kurunji.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-19,19,Paṭṭiṉappālai,4,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-19-ppalai.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-20,20,Malaipaṭukaṭām,2,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-20-malai.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-21,21,Nālaṭiyār,5,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-21-naladi.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-22,22,Nāṉmaṇikkaṭikai,4,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-22-naan.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-23,23,Iṉṉā nāṟpatu,4,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-23-inna.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-24,24,Iṉiyavai nāṟpatu,5,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-24-iniyavai.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-25,25,Kār nāṟpatu,6,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-25-kaar.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-26,26,Kaḷavaḻi nāṟpatu,4,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-26-kala.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-27,27,Aintiṇai aimpatu,2,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-27-ain50.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-28,28,Aintiṇaiyeḻupatu,2,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-28-ain70.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-29,29,Tiṇaimoḻi Aimpatu,2,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-29-tinai50.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-30,30,Tiṇaimālai Nūṟṟaimpatu,1,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-30-tinaim150.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-31,31,Tirukkuṟaḷ,19,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-31-tiruk.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-32,32,Tirikaṭukam,3,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-32-tirik.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-33,33,Ācārakkōvai,3,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-33-asar.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-34,34,Paḻamoḻi nāṉūṟu,4,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-34-pala.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-35,35,Ciṟupañcamūlam,3,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-35-siru.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-36,36,Mutumoḻik kāñci,3,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-36-mudhu.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-37,37,Ēlāti,3,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-37-elati.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-38,38,Kainnilai,1,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-38-kain.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-39,39,Cilappatikāram,20,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-39-silap.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-40,40,Maṇimēkalai,7,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-40-manim.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-41,41,Muttoḷḷāyiram,6,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-41-muthol.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-42,42,Iṟaiyaṉārkaḷaviyal,6,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-42-irai.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
CICT-43,43,OTHERS,11,"Cost-free downloading for texts, commentaries, translations and criticisms; site footer states All Rights Reserved.",COST_FREE_DOWNLOAD_RIGHTS_RESERVED_PERMISSION_REQUIRED,False,https://library.cict.in/41-43-oths.html,Preserve in restricted staging only; request CICT permission and edition-specific rights before indexing/public/commercial use.
