corpus_id,domain,subdomain,corpus_or_collection,current_primary_route,gita_press_partnership_role,confidence,direct_catalog_match_count,matched_product_codes_sample,matched_product_titles_sample,candidate_catalog_categories,potential_plan_change_if_signed,what_gita_press_can_supply,what_it_does_not_replace,fallback_if_partnership_fails,official_evidence_url,assessment_notes
COR-0001,01 Shruti and Vedic,Samhita,Rigveda Samhita — Shakala recension,AGENT_DOWNLOAD_RIGHTS_REVIEW,D_NOT_A_REPLACEMENT,HIGH,0,,,,NO_PRIMARY_ROUTE_CHANGE; optionally add a Gita Press popular edition if catalog-matched,"Popular edition, translation, illustration or devotional explanation only where a matching product exists.","Critical/recensional evidence, population census, official calendrics, inscriptions, media rights or consented fieldwork.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0002,01 Shruti and Vedic,Samhita,Rigveda Samhita — Bashkala fragments and Khilani,AGENT_DOWNLOAD_RIGHTS_REVIEW,D_NOT_A_REPLACEMENT,HIGH,0,,,,NO_PRIMARY_ROUTE_CHANGE; optionally add a Gita Press popular edition if catalog-matched,"Popular edition, translation, illustration or devotional explanation only where a matching product exists.","Critical/recensional evidence, population census, official calendrics, inscriptions, media rights or consented fieldwork.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0003,01 Shruti and Vedic,Samhita,Samaveda Samhita — Kauthuma recension,AGENT_DOWNLOAD_RIGHTS_REVIEW,D_NOT_A_REPLACEMENT,HIGH,0,,,,NO_PRIMARY_ROUTE_CHANGE; optionally add a Gita Press popular edition if catalog-matched,"Popular edition, translation, illustration or devotional explanation only where a matching product exists.","Critical/recensional evidence, population census, official calendrics, inscriptions, media rights or consented fieldwork.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0004,01 Shruti and Vedic,Samhita,Samaveda Samhita — Ranayaniya recension,AGENT_DOWNLOAD_RIGHTS_REVIEW,D_NOT_A_REPLACEMENT,HIGH,0,,,,NO_PRIMARY_ROUTE_CHANGE; optionally add a Gita Press popular edition if catalog-matched,"Popular edition, translation, illustration or devotional explanation only where a matching product exists.","Critical/recensional evidence, population census, official calendrics, inscriptions, media rights or consented fieldwork.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0005,01 Shruti and Vedic,Samhita,Samaveda Samhita — Jaiminiya/Talavakara recension,AGENT_DOWNLOAD_RIGHTS_REVIEW,D_NOT_A_REPLACEMENT,HIGH,0,,,,NO_PRIMARY_ROUTE_CHANGE; optionally add a Gita Press popular edition if catalog-matched,"Popular edition, translation, illustration or devotional explanation only where a matching product exists.","Critical/recensional evidence, population census, official calendrics, inscriptions, media rights or consented fieldwork.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0006,01 Shruti and Vedic,Samhita,Shukla Yajurveda — Vajasaneyi Madhyandina Samhita,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0007,01 Shruti and Vedic,Samhita,Shukla Yajurveda — Vajasaneyi Kanva Samhita,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0008,01 Shruti and Vedic,Samhita,Krishna Yajurveda — Taittiriya Samhita,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0009,01 Shruti and Vedic,Samhita,Krishna Yajurveda — Maitrayani Samhita,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0010,01 Shruti and Vedic,Samhita,Krishna Yajurveda — Katha Samhita,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0011,01 Shruti and Vedic,Samhita,Krishna Yajurveda — Kapisthala-Katha Samhita,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0012,01 Shruti and Vedic,Samhita,Atharvaveda — Shaunaka Samhita,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0013,01 Shruti and Vedic,Samhita,Atharvaveda — Paippalada Samhita (Kashmir and Odisha witnesses),AGENT_DOWNLOAD_RIGHTS_REVIEW,D_NOT_A_REPLACEMENT,HIGH,0,,,,NO_PRIMARY_ROUTE_CHANGE; optionally add a Gita Press popular edition if catalog-matched,"Popular edition, translation, illustration or devotional explanation only where a matching product exists.","Critical/recensional evidence, population census, official calendrics, inscriptions, media rights or consented fieldwork.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0014,01 Shruti and Vedic,Brahmana,Aitareya Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0015,01 Shruti and Vedic,Brahmana,Kaushitaki/Shankhayana Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0016,01 Shruti and Vedic,Brahmana,Panchavimsha/Tandya Mahabrahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0017,01 Shruti and Vedic,Brahmana,Shadvimsha Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0018,01 Shruti and Vedic,Brahmana,Samavidhana Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0019,01 Shruti and Vedic,Brahmana,Arsheya Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
COR-0020,01 Shruti and Vedic,Brahmana,Devata/Daivata Brahmana,AGENT_DOWNLOAD_RIGHTS_REVIEW,C_ARCHIVE_OR_RESEARCH_DISCOVERY_POTENTIAL,LOW_UNTIL_ARCHIVE_CATALOG_RECEIVED,0,,,,REQUEST_MANUSCRIPT_AND_RESEARCH_LIBRARY_CATALOG; no route replacement yet,"Possible manuscript metadata, source copies, bibliographic leads or a future edition from the reported archive.","Specialist manuscript institutes, lineage permissions, critical editions and school-specific completeness.",Item-level rights review,https://gitapress.org/catalogue,Role is an acquisition overlay. It does not mark the target complete and does not merge distinct editions.
