gretil_item_id,language_section,category_path,catalogue_title,catalogue_context,downloadable_url_count,downloadable_urls,all_links,restricted_download_noted,converted_files_unavailable,expired_source_noted,agent_can_download_now,acquisition_route,public_use_status,next_action,catalogue_source_url
GRE-00001,Sanskrit,Sanskrit > Veda > Samhita > Rigveda,"Rgveda (input by Barend A. Van Nooten and Gary B. Holland, converted and revised by Detlef Eichler)","Rgveda (input by Barend A. Van Nooten and Gary B. Holland, converted and revised by Detlef Eichler) Download from Detlef Eichler's website TEI-conformant XML Analytic Transformation (html) Plain Transformation (txt)",4,http://www.detlef108.de/Rigveda.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_Rgveda-edAufrecht.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_Rgveda-edAufrecht.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_Rgveda-edAufrecht.txt,http://www.detlef108.de/Rigveda.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_Rgveda-edAufrecht.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_Rgveda-edAufrecht.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_Rgveda-edAufrecht.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_Rgveda-edAufrecht.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_Rgveda-edAufrecht.txt,False,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00002,Sanskrit,Sanskrit > Veda > Samhita > Rigveda,"Rgveda, Padapatha text (input by members of the Sansknet project)","Rgveda, Padapatha text (input by members of the Sansknet project) Download from Sansknet (expired) TEI-conformant XML Analytic Transformation (html) Plain Transformation (txt)",3,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_RgvedasaMhitApadapATha.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_RgvedasaMhitApadapATha.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_RgvedasaMhitApadapATha.txt,http://www.sansknet.ac.in | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_RgvedasaMhitApadapATha.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_RgvedasaMhitApadapATha.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_RgvedasaMhitApadapATha.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_RgvedasaMhitApadapATha.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_RgvedasaMhitApadapATha.txt,False,False,True,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00003,Sanskrit,Sanskrit > Veda > Samhita > Rigveda,Rgveda-Khilani (input by Muneo Tokunaga),Rgveda-Khilani (input by Muneo Tokunaga) TEI-conformant XML Analytic Transformation (html) Plain Transformation (txt) For other formats / encodings see: TITUS (restricted download / proprietary format),4,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_RgvedakhilAni.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_RgvedakhilAni.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_RgvedakhilAni.txt | http://titus.uni-frankfurt.de/indexe.htm,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_RgvedakhilAni.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_RgvedakhilAni.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_RgvedakhilAni.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_RgvedakhilAni.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_RgvedakhilAni.txt | http://titus.uni-frankfurt.de/indexe.htm,True,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00004,Sanskrit,Sanskrit > Veda > Samhita > Atharvaveda,Atharvaveda (input by …),Atharvaveda (input by …) Only restricted download / proprietary format from Converted file(s) not available at present,0,,,True,True,False,False,PERMISSION_OR_ACCOUNT_REQUIRED,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Request TITUS/contributor access and explicit reuse terms; otherwise locate a lawful print or alternate digital edition.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00005,Sanskrit,Sanskrit > Veda > Samhita > Atharvaveda,"Atharvaveda-Samhita, Saunaka recension (input by Vladimir Petr and Petr Vavrousek, in cooperation with Jost Gippert, Arlo Griffiths and Philipp Kubisch)","Atharvaveda-Samhita, Saunaka recension (input by Vladimir Petr and Petr Vavrousek, in cooperation with Jost Gippert, Arlo Griffiths and Philipp Kubisch) Download from TITUS Unaccented text Accented text",3,http://titus.uni-frankfurt.de/indexe.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/avs___u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/avs_acu.htm,http://titus.uni-frankfurt.de/indexe.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/avs___u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/avs___u.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/avs_acu.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/avs_acu.htm,False,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00006,Sanskrit,Sanskrit > Veda > Samhita > Atharvaveda,"Atharvaveda-Samhita, Paippalada recension (input by Arlo Griffiths, Thomas Zehnder, Philipp Kubisch, Duccio Lelli, Alexander Lubotsky, Carmen Spiers, and Michael Witzel)","Atharvaveda-Samhita, Paippalada recension (input by Arlo Griffiths, Thomas Zehnder, Philipp Kubisch, Duccio Lelli, Alexander Lubotsky, Carmen Spiers, and Michael Witzel) TEI-conformant XML Analytic Transformation (html) Plain Transformation (txt)",3,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_paippalAdasaMhitA.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_paippalAdasaMhitA.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_paippalAdasaMhitA.txt,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_paippalAdasaMhitA.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_paippalAdasaMhitA.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_paippalAdasaMhitA.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_paippalAdasaMhitA.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_paippalAdasaMhitA.txt,False,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00007,Sanskrit,Sanskrit > Veda > Samhita > Samaveda,Samaveda (input by Anshuman Pandey),"Samaveda (input by Anshuman Pandey) Download from ""Sanskrit Documents"" TEI-conformant XML Analytic Transformation (html) Plain Transformation (txt) For other formats / encodings see: TITUS (restricted download / proprietary format)",4,https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_sAmavedasaMhitA.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_sAmavedasaMhitA.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_sAmavedasaMhitA.txt | http://titus.uni-frankfurt.de/indexe.htm,http://sanskritdocuments.org/ | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_sAmavedasaMhitA.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/sa_sAmavedasaMhitA.xml | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_sAmavedasaMhitA.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/html/sa_sAmavedasaMhitA.htm | https://gretil.sub.uni-goettingen.de/gretil/corpustei/transformations/plaintext/sa_sAmavedasaMhitA.txt | http://titus.uni-frankfurt.de/indexe.htm,True,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00008,Sanskrit,Sanskrit > Veda > Samhita > Black Yajurveda,Kathaka-Samhita (input by …),Kathaka-Samhita (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00009,Sanskrit,Sanskrit > Veda > Samhita > Black Yajurveda,Maitrayani-Samhita (input by TITUS),Maitrayani-Samhita (input by TITUS) Restricted download / proprietary format from TITUS Analytic text Plain text,3,http://titus.uni-frankfurt.de/indexe.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/maitrs_au.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/maitrs_pu.htm,http://titus.uni-frankfurt.de/indexe.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/maitrs_au.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/maitrs_au.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/maitrs_pu.htm | https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/1_sam/maitrs_pu.htm,True,False,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
GRE-00010,Sanskrit,Sanskrit > Veda > Samhita > Black Yajurveda,Taittiriya-Samhita (input by …),Taittiriya-Samhita (input by …) Restricted download / proprietary format from TITUS Converted file(s) not available at present,1,http://titus.uni-frankfurt.de/indexe.htm,http://titus.uni-frankfurt.de/indexe.htm,True,True,False,True,AUTO_DOWNLOAD_RESTRICTED_REVIEW,ITEM_LEVEL_RIGHTS_REVIEW_REQUIRED,Freeze every downloadable representation and assess contributor/source rights before public promotion.,https://gretil.sub.uni-goettingen.de/gretil.html
