overlap_id,provider_a,item_a,title_a,provider_b,item_b,title_b,match_method,confidence,same_carrier_hash_verified,notes
OVL-0001,TextGrid GRETIL,TG-GRE-0001,Buddhacarita 1-23 (Tibetan translation),Original GRETIL catalogue,GRE-01080,"Asvaghosa: Buddhacarita 1-23 (collation, input by Roland Steiner)",EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0002,TextGrid GRETIL,TG-GRE-0036,Garuḍapurāṇa,Original GRETIL catalogue,GRE-00089,Garuda-Purana (input by members of the Sansknet Project),EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0003,TextGrid GRETIL,TG-GRE-0037,"Matsyapurāṇa, 1-176",Original GRETIL catalogue,GRE-00093,"Matsya-Purana, Adhy. 1-176 (input by Oliver Hellwig)",EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0004,TextGrid GRETIL,TG-GRE-0038,Kūrmapurāṇa,Original GRETIL catalogue,GRE-00090,Kurma-Purana (input by members of the Sansknet Project),EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0005,TextGrid GRETIL,TG-GRE-0039,Nāradapurāṇa (or Nāradīyapurāṇa),Original GRETIL catalogue,GRE-00094,Narada-Purana (input by members of the Sansknet Project),EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0006,TextGrid GRETIL,TG-GRE-0040,"Mārkaṇḍeyapurāṇa, 1-93",Original GRETIL catalogue,GRE-00092,Markandeya-Purana (input by members of the Sansknet Project),EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0007,TextGrid GRETIL,TG-GRE-0041,Narasiṃhapurāṇa,Original GRETIL catalogue,GRE-00095,Narasimha-Purana (input by Peter Schreiner),EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0008,TextGrid GRETIL,TG-GRE-0042,"Liṅgapurāṇa, 1-108",Original GRETIL catalogue,GRE-00091,Linga-Purana (input by members of the Sansknet Project),EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0009,TextGrid GRETIL,TG-GRE-0043,Revākhāṇḍa of the Vāyupurāṇa (RKV),Original GRETIL catalogue,GRE-00100,"Vayu-Purana , Revakhanda [wrongly incorporated into the Skanda-Purana] (input by Jürgen Neuss)",EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0010,TextGrid GRETIL,TG-GRE-0045,Skandapurāṇa: Revākhaṇḍa (RKS),Original GRETIL catalogue,GRE-00098,"Skanda-Purana, Revakhanda (input by Jürgen Neuss)",EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0011,TextGrid GRETIL,TG-GRE-0046,"Vāmanapurāṇa, Saromāhātmya",Original GRETIL catalogue,GRE-00099,Vamana-Purana (input by members of the Sansknet project),EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0012,TextGrid GRETIL,TG-GRE-0047,"Vāmanapurāṇa, 1-69",Original GRETIL catalogue,GRE-00099,Vamana-Purana (input by members of the Sansknet project),EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
OVL-0013,TextGrid GRETIL,TG-GRE-0050,Viṣṇupurāṇa,Original GRETIL catalogue,GRE-00104,Visnu-Purana (input by members of the Sansknet Project),EXACT_TEI_XML_ID_TO_CORPUSTEI_FILENAME_STEM,HIGH,False,Successor-object lineage match; content equality still requires old-carrier download/hash comparison.
