project_madurai_id,work_number,title,author,genre,language,pdf_urls,unicode_urls,agent_can_download_now,acquisition_route,public_use_status,permission_contact,next_action,catalogue_source_url
PM-1-0001,1,திருக்குறள்,திருவள்ளுவர்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0001.pdf | https://projectmadurai.org/pm_etexts/pdf/pm0001_01.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0001.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-2-0002,2,ஆத்திசூடி,ஒளவையார்,நீதிநெறி நூல்கள்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0002.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0002.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-2-0003,2,கொன்றை வேந்தன்,ஒளவையார்,நீதிநெறி நூல்கள்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0002.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0002.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-2-0004,2,நல்வழி,ஒளவையார்,நீதிநெறி நூல்கள்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0002.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0002.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-2-0005,2,மூதுரை,ஒளவையார்,நீதிநெறி நூல்கள்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0002.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0002.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-3-0006,3,திருவாசகம் - 1 (1-10),மாணிக்க வாசகர்,சமயம் - சைவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0003.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0003_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0003_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-3-0007,3,திருவாசகம் - 2 (11-51),மாணிக்க வாசகர்,சமயம் - சைவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0003.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0003_01.html | https://projectmadurai.org/pm_etexts/utf8/pmuni0003_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-4-0008,4,திருமந்திரம் (தந்திரங்கள் - 1; 2),திருமூலர்,சமயம் - சைவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0004.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0004.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-5-0009,5,நாலாயிர திவ்ய பிரபந்தம் / திருப்பல்லாண்டு,பெரியாழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0005_01.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0005_01.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-5-0010,5,நாலாயிர திவ்ய பிரபந்தம் / திருமொழி,பெரியாழ்வார்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0005_01.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0005_01.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-5-0011,5,நாலாயிர திவ்ய பிரபந்தம் / திருப்பாவை,ஆண்டாள்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0005_02.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0005_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-5-0012,5,நாலாயிர திவ்ய பிரபந்தம் / நாச்சியார் திருமொழி,ஆண்டாள்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0005_02.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0005_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-5-0013,5,நாலாயிர திவ்ய பிரபந்தம் / பெருமாள் திருமொழி,குலசேகரப் பெருமாள்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0005_02.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0005_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
PM-5-0014,5,நாலாயிர திவ்ய பிரபந்தம் / திருச்சந்த விருத்தம்,திருமழிசைபிரான்,சமயம் - வைணவம்,Tamil,https://projectmadurai.org/pm_etexts/pdf/pm0005_02.pdf,https://projectmadurai.org/pm_etexts/utf8/pmuni0005_02.html,True,AUTO_DOWNLOAD_PERMISSION_BEFORE_REDISTRIBUTION,CONTACT_PROJECT_COORDINATORS_AND_RETAIN_HEADERS,pmadurai@gmail.com,Freeze all available formats; preserve each header; request confirmation before Devam online redistribution and commercial use.,https://projectmadurai.org/pmworks.html
