carrier_id,sarit_item_id,relative_path,format,bytes,sha256,xml_well_formed,integrity_error,acquired,source_commit
SARIT-C-001,SARIT-001,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\arunadatta-sarvangasundara.xml,TEI_XML,9125548,22d1e904f8dc224bee9dd8003c51a50dbdb7872d0ef5b106b2ab30f136305f9e,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
SARIT-C-002,SARIT-002,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\asvaghosa-buddhacarita.xml,TEI_XML,287924,60da18bf9628804ff28014df67fc61d6cf69a7fbe96ad8835fab95a6e2fe7e4b,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
SARIT-C-003,SARIT-003,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\astangahrdayasamhita.xml,TEI_XML,3035562,e97918f5aece5c6763a64082826568e4c81947af020ea653af098484343e57ed,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
SARIT-C-004,SARIT-004,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\astangasangraha.xml,TEI_XML,3013341,ab5b7597e3c1a409893be12e5740f8924caa4d3fdc4153200897e2cfdef783c4,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
SARIT-C-005,SARIT-005,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\astavakragita.xml,TEI_XML,69374,e4b8ec94da469e59ba30e5cb461575ecdf49c704002e7be81cbf9b2655e78036,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
SARIT-C-006,SARIT-006,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\avayavinirakarana.xml,TEI_XML,55947,ed21a25907227ccb0e2db86465e1de8dda905ec8c0ddef4ada4f8a88f0de79f5,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
SARIT-C-007,SARIT-007,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\ayurvedasutram.xml,TEI_XML,78665,c3aa81b6278538c134d0eaab761c788d1d396fa25afb602d51ca4e80671402b6,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
SARIT-C-008,SARIT-008,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\bhartrhari-vakyapadiya.xml,TEI_XML,374438,e2305c1f13fd6c534ad2fd3953decc7879a9cf7d2d942d42cdc0ecf42e479a94,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
SARIT-C-009,SARIT-009,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\bhoja-rajamartanda.xml,TEI_XML,296320,fa25458d53d9f1ec2326edd1d3fdda4a44b5336d9567c67e2a59b57156e1f3a9,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
SARIT-C-010,SARIT-010,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\brahmapurana.xml,TEI_XML,3816691,16339c3a9fcf96469284b74e5e037beba130ac177bf9556cc71813ea7f300eb3,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
SARIT-C-011,SARIT-011,acquisitions\staging\sarit\2026-07-12\upstream\SARIT-corpus\cakradatta.xml,TEI_XML,1456360,e57a58a29800346287f541aa2620e638a64c4390b8f6a5344df1c8ad3f6b4d1d,True,,True,1eac9ee0b055c8d11147edac4a75c76008ccc363
