sarit_item_id,filename,title,author,active_corpus_member,tei_root,xml_well_formed,license_urls,license_statement,rights_lane,agent_can_index_now,source_commit,source_url,next_action
SARIT-001,arunadatta-sarvangasundara.xml,Aṣṭāṅgahṛdayasaṃhitā,Vāgbhaṭa | Aruṇadatta | Hemādri,True,TEI,True,http://creativecommons.org/licenses/by-sa/3.0/ | http://sarit.indology.info,"Copyright Notice Copyright AVP Research Foundation, Coimbatore, 2013 Distributed by SARIT under a Creative Commons Attribution-ShareAlike 3.0 Unported License. Under this licence, you are free to Share — to copy, distribute and transmit the work to Remix — to adapt the work Under the following conditions: Attribution — You must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Share Alike — If you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one. More information and fuller details of this license are given on the Creative Commons website. SARIT assumes no responsibility for unauthorised use that infringes the rights of any copyright owners, known or unknown.",EXPLICIT_OPEN_REUSE_WITH_CONDITIONS,True,1eac9ee0b055c8d11147edac4a75c76008ccc363,https://github.com/sarit/SARIT-corpus/blob/1eac9ee0b055c8d11147edac4a75c76008ccc363/arunadatta-sarvangasundara.xml,Preserve attribution/share-alike terms and independently review source-edition rights.
SARIT-002,asvaghosa-buddhacarita.xml,Buddhacarita,Aśvaghoṣa,True,TEI,True,http://creativecommons.org/licenses/by-sa/4.0/ | http://sarit.indology.info,"Copyright Notice Copyright 2017-2018 SARIT and Peter Schreiner Distributed by SARIT under a Creative Commons Attribution-ShareAlike 4.0 International License. Under this licence, you are free to Share — to copy, distribute and transmit the work to Remix — to adapt the work Under the following conditions: Attribution — You must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Share Alike — If you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one. More information and fuller details of this license are given on the Creative Commons website. SARIT assumes no responsibility for unauthorised use that infringes the rights of any copyright owners, known or unknown.",EXPLICIT_OPEN_REUSE_WITH_CONDITIONS,True,1eac9ee0b055c8d11147edac4a75c76008ccc363,https://github.com/sarit/SARIT-corpus/blob/1eac9ee0b055c8d11147edac4a75c76008ccc363/asvaghosa-buddhacarita.xml,Preserve attribution/share-alike terms and independently review source-edition rights.
SARIT-003,astangahrdayasamhita.xml,Aṣṭāṅgahṛdayasaṃhitā,Vāgbhaṭa,True,TEI,True,http://creativecommons.org/licenses/by-sa/3.0/ | http://sarit.indology.info,"Copyright Notice Copyright 2014-2018 SARIT Distributed by SARIT under a Creative Commons Attribution-ShareAlike 3.0 Unported License. Under this licence, you are free to Share — to copy, distribute and transmit the work to Remix — to adapt the work Under the following conditions: Attribution — You must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Share Alike — If you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one. More information and fuller details of this license are given on the Creative Commons website. SARIT assumes no responsibility for unauthorised use that infringes the rights of any copyright owners, known or unknown.",EXPLICIT_OPEN_REUSE_WITH_CONDITIONS,True,1eac9ee0b055c8d11147edac4a75c76008ccc363,https://github.com/sarit/SARIT-corpus/blob/1eac9ee0b055c8d11147edac4a75c76008ccc363/astangahrdayasamhita.xml,Preserve attribution/share-alike terms and independently review source-edition rights.
SARIT-004,astangasangraha.xml,Aṣṭāṅgasaṅgraha,Vṛddhavāgbhaṭa,True,TEI,True,http://creativecommons.org/licenses/by-sa/3.0/ | http://sarit.indology.info,"Copyright Notice Copyright 2014-2018 SARIT Distributed by SARIT under a Creative Commons Attribution-ShareAlike 3.0 Unported License. Under this licence, you are free to Share — to copy, distribute and transmit the work to Remix — to adapt the work Under the following conditions: Attribution — You must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Share Alike — If you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one. More information and fuller details of this license are given on the Creative Commons website. SARIT assumes no responsibility for unauthorised use that infringes the rights of any copyright owners, known or unknown.",EXPLICIT_OPEN_REUSE_WITH_CONDITIONS,True,1eac9ee0b055c8d11147edac4a75c76008ccc363,https://github.com/sarit/SARIT-corpus/blob/1eac9ee0b055c8d11147edac4a75c76008ccc363/astangasangraha.xml,Preserve attribution/share-alike terms and independently review source-edition rights.
SARIT-005,astavakragita.xml,Aṣṭāvakragītā,,True,TEI,True,http://creativecommons.org/licenses/by-sa/3.0/ | http://sarit.indology.info,"Copyright Notice Copyright Suryansu Ray 2012 Distributed by SARIT under a Creative Commons Attribution-ShareAlike 3.0 Unported License. Under this licence, you are free to Share — to copy, distribute and transmit the work to Remix — to adapt the work Under the following conditions: Attribution — You must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Share Alike — If you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one. More information and fuller details of this license are given on the Creative Commons website. SARIT assumes no responsibility for unauthorised use that infringes the rights of any copyright owners, known or unknown.",EXPLICIT_OPEN_REUSE_WITH_CONDITIONS,True,1eac9ee0b055c8d11147edac4a75c76008ccc363,https://github.com/sarit/SARIT-corpus/blob/1eac9ee0b055c8d11147edac4a75c76008ccc363/astavakragita.xml,Preserve attribution/share-alike terms and independently review source-edition rights.
SARIT-006,avayavinirakarana.xml,Avayavinirākaraṇa,Aśoka,True,TEI,True,https://creativecommons.org/licenses/by-sa/4.0/,"Copyright Notice: Copyright 2016-2018 SARIT Distributed under a Creative Commons Attribution-ShareAlike 4.0 International licence. Under this licence, you are free to: Share — copy and redistribute the material in any medium or format. Adapt — remix, transform, and build upon the material for any purpose, even commercially. The licensor cannot revoke these freedoms as long as you follow the license terms. Under the following terms: Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use. ShareAlike — If you remix, transform, or build upon the material, you must distribute your contributions under the same license as the original. More information and fuller details of this license are given on the Creative Commons website. SARIT assumes no responsibility for unauthorised use that infringes the rights of any copyright owners, known or unknown.",EXPLICIT_OPEN_REUSE_WITH_CONDITIONS,True,1eac9ee0b055c8d11147edac4a75c76008ccc363,https://github.com/sarit/SARIT-corpus/blob/1eac9ee0b055c8d11147edac4a75c76008ccc363/avayavinirakarana.xml,Preserve attribution/share-alike terms and independently review source-edition rights.
SARIT-007,ayurvedasutram.xml,Āyurvedasūtram,Anonymous,True,TEI,True,http://sarit.indology.info | http://creativecommons.org/licenses/by-sa/3.0/,"Copyright Notice Machine-readable version copyright (C) Zoe Slatoff, 2010. Distributed by SARIT under a Creative Commons Attribution-ShareAlike 3.0 Unported License. Under this licence, you are free to Share — to copy, distribute and transmit the work to Remix — to adapt the work Under the following conditions: Attribution — You must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Share Alike — If you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one. More information and fuller details of this license are given on the Creative Commons website. SARIT assumes no responsibility for unauthorised use that infringes the rights of any copyright owners, known or unknown.",EXPLICIT_OPEN_REUSE_WITH_CONDITIONS,True,1eac9ee0b055c8d11147edac4a75c76008ccc363,https://github.com/sarit/SARIT-corpus/blob/1eac9ee0b055c8d11147edac4a75c76008ccc363/ayurvedasutram.xml,Preserve attribution/share-alike terms and independently review source-edition rights.
SARIT-008,bhartrhari-vakyapadiya.xml,Vākyapadīya,Bhartṛhari,True,TEI,True,http://creativecommons.org/licenses/by-sa/3.0/ | http://sarit.indology.info,"Copyright Notice Distributed by SARIT under a Creative Commons Attribution-ShareAlike 3.0 Unported License. Under this licence, you are free to Share — to copy, distribute and transmit the work to Remix — to adapt the work Under the following conditions: Attribution — You must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Share Alike — If you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one. More information and fuller details of this license are given on the Creative Commons website. SARIT assumes no responsibility for unauthorised use that infringes the rights of any copyright owners, known or unknown.",EXPLICIT_OPEN_REUSE_WITH_CONDITIONS,True,1eac9ee0b055c8d11147edac4a75c76008ccc363,https://github.com/sarit/SARIT-corpus/blob/1eac9ee0b055c8d11147edac4a75c76008ccc363/bhartrhari-vakyapadiya.xml,Preserve attribution/share-alike terms and independently review source-edition rights.
SARIT-009,bhoja-rajamartanda.xml,Rājamārtaṇḍa or Bhojavṛtti,Bhojarāja,True,TEI,True,http://creativecommons.org/licenses/by-sa/3.0/ | http://sarit.indology.info,"Copyright Notice Copyright Suryansu Ray 2012 Distributed by SARIT under a Creative Commons Attribution-ShareAlike 3.0 Unported License. Under this licence, you are free to Share — to copy, distribute and transmit the work to Remix — to adapt the work Under the following conditions: Attribution — You must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Share Alike — If you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one. More information and fuller details of this license are given on the Creative Commons website. SARIT assumes no responsibility for unauthorised use that infringes the rights of any copyright owners, known or unknown.",EXPLICIT_OPEN_REUSE_WITH_CONDITIONS,True,1eac9ee0b055c8d11147edac4a75c76008ccc363,https://github.com/sarit/SARIT-corpus/blob/1eac9ee0b055c8d11147edac4a75c76008ccc363/bhoja-rajamartanda.xml,Preserve attribution/share-alike terms and independently review source-edition rights.
SARIT-010,brahmapurana.xml,Brahmapurāṇa,Vyāsa,True,TEI,True,http://creativecommons.org/licenses/by-sa/3.0/ | http://sarit.indology.info,"Copyright Notice Copyright 2014-2018 SARIT Distributed by SARIT under a Creative Commons Attribution-ShareAlike 3.0 Unported License. Under this licence, you are free to Share — to copy, distribute and transmit the work to Remix — to adapt the work Under the following conditions: Attribution — You must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Share Alike — If you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one. More information and fuller details of this license are given on the Creative Commons website. SARIT assumes no responsibility for unauthorised use that infringes the rights of any copyright owners, known or unknown.",EXPLICIT_OPEN_REUSE_WITH_CONDITIONS,True,1eac9ee0b055c8d11147edac4a75c76008ccc363,https://github.com/sarit/SARIT-corpus/blob/1eac9ee0b055c8d11147edac4a75c76008ccc363/brahmapurana.xml,Preserve attribution/share-alike terms and independently review source-edition rights.
