corpus,object_role,book,bytes,filename,first_identifier,first_verse,last_identifier,last_updated,last_verse,line_count,passage_count,section_count,sha256,verse_count
ramayana,constituted_main_text,1,472260,Ram01.txt,,1.1.1,,Thu Oct 21 2021,1.76.18,3945,,76,91e9dc6443be0cd0daffe655913fa8e035f92923a48b0adc650b5d352ef72c1a,1941
ramayana,constituted_main_text,2,781797,Ram02.txt,,2.1.1,,Sun Jul 03 2022,2.111.20,6410,,111,070fa976f1239a6e309ce33c74c0c208091212209ead4b1ac2225172fcc95014,3160
ramayana,constituted_main_text,3,508817,Ram03.txt,,3.1.1,,Wed Nov 18 2020,3.71.26,4209,,71,c85991e2c27a87253257d1f505833720a198b68557b7b6ce075bd5ca3d717683,2060
ramayana,constituted_main_text,4,488990,Ram04.txt,,4.1.1,,Sat Sep 25 2021,4.66.44,4017,,66,4c14603b30a71a9be5cb1472eb4149a3b453c1db7fac01e325bb5844fc56de7c,1987
ramayana,constituted_main_text,5,620657,Ram05.txt,,5.1.1,,Sat Sep 25 2021,5.66.29,5042,,66,9d572c20e700b09be3110cc81082db03edcc9119ae0034130dad8a9864ef345c,2487
ramayana,constituted_main_text,6,1097554,Ram06.txt,,6.1.1,,Wed Mar 11 2020,6.116.90,8979,,116,f24198fb48a8964a8ab3bc55ecb52da1606450e5672d9f1e78231d9833725607,4436
ramayana,constituted_main_text,7,656864,Ram07.txt,,7.1.1,,Wed Oct 21 2020,7.100.26,5441,,100,9b6d9e38b6e9dada90462466272d7ffa76a3b5e231c97d12fd2569a2b99bee7b,2690
mahabharata,constituted_main_text,1,1889069,MBh01.txt,,1.1.0,,Fri Dec 1 2023,1.225.19,15785,,225,fa6491a1c60209a6b027e56d93fa8ff0e3557c4bc67177d6b7f5d2e284465f6f,7197
mahabharata,constituted_main_text,2,621406,MBh02.txt,,2.1.1,,Wed Apr 19 2006,2.72.36,5149,,72,40abe4baf4551de92750a12fa04be953150c8702894d97ea5d16a2df7199caed,2390
mahabharata,constituted_main_text,3,2708168,MBh03.txt,,3.1.1,,Mon Apr 11 2022,3.299.29,22462,,299,224b7d775a8d6170afacc5dc3e6448c0ea16b24a6442be51667e3285cf336aa9,10316
mahabharata,constituted_main_text,4,481846,MBh04.txt,,4.1.1,,Thu Dec  1 2011,4.67.38,3997,,67,f757d1924cd4d3b89ac9886e1d054b67916d230600937f26e575a9f74c028d1e,1824
mahabharata,constituted_main_text,5,1608869,MBh05.txt,,5.1.1,,Tue Jan 23 2024,5.197.21,12955,,197,5df7c830fe5e90bdb51db337c60fb3de02aa1fe6d16a04360a88fdceb62e2731,6063
mahabharata,constituted_main_text,6,1386518,MBh06.txt,,6.1.1,,Mon Jul 26 2021,6.117.34,11452,,117,7c6995404cf98df5d41e533e4ab3c277b02c2245ba2a956344702e6f7189f977,5406
mahabharata,constituted_main_text,7,2077487,MBh07.txt,,7.1.1,,Sun May 14 2023,7.173.107,17066,,173,e84b1caef57c1c185359cfd655c640dd61160abf6441f8d11cf29ad8f68b4f86,8152
mahabharata,constituted_main_text,8,1047102,MBh08.txt,,8.1.1,,Mon Jul 29 2019,8.69.43,8216,,69,63d358f1cb14afec144f46d3a5685d5a819b4e444ff4180196b1fcd120555ebc,3871
mahabharata,constituted_main_text,9,855770,MBh09.txt,,9.1.1,,Tue Jun 23 2020,9.64.43,7093,,64,3ccae2612e93d681e616b89790d926596e32d00221279472ddf0fca1d97ad28d,3315
mahabharata,constituted_main_text,10,198661,MBh10.txt,,10.1.1,,Thu Feb 26 2009,10.18.26,1633,,18,321a3cd8daca0d6f3aa6db0811bf19cf228e8be082aa6f803b373f22c069fc21,772
mahabharata,constituted_main_text,11,184237,MBh11.txt,,11.1.1,,Mon Apr 17 2017,11.27.24,1550,,27,ca39ac51156017d945886511bf8563d29ccd40cf643360b3bcbf00e9dcb93554,730
mahabharata,constituted_main_text,12,3371191,MBh12.txt,,12.1.1,,Wed Jun 16 2021,12.353.9,27618,,353,6a05be4209fd2676fc62edceed64ae21d1f96ae5b706e4e633f73cf6f54bf72c,12866
mahabharata,constituted_main_text,13,1703312,MBh13.txt,,13.1.1,,Mon Jul 29 2019,13.154.34,14128,,154,1e15b2500f21827ea8ca3f72d81f0ff64bcc20400ed9cff2ab9546764961ecf4,6536
mahabharata,constituted_main_text,14,714272,MBh14.txt,,14.1.1,,Sun Apr 07 2024,14.96.15,5939,,96,21640297028d944008fae9b0eef007a984932e472f171ccb93d74918fd784fdc,2743
mahabharata,constituted_main_text,15,269676,MBh15.txt,,15.1.1,,Tue May 15 2007,15.47.27,2246,,47,3fe18d5230022aac7530f234cd750ee51b91fb45eeb16e039384fc25372d65fc,1062
mahabharata,constituted_main_text,16,70998,MBh16.txt,,16.1.1,,Tue May 15 2007,16.9.38,569,,9,83986373e05115640d88a5fc6ad148575d28c41c849dfcea63c28e54720ff80c,273
mahabharata,constituted_main_text,17,28265,MBh17.txt,,17.1.1,,Thu Sep 27 2007,17.3.36,234,,3,7acea28fc0985b843a2c056c4622a68e2d2624bbd1680be4400d0fedcfbc3cde,106
mahabharata,constituted_main_text,18,49636,MBh18.txt,,18.1.1,,Mon Jul 23 2007,18.5.54,410,,5,af5c3d77b414c9556a34f25586809019f63d4b7e3e994c34e4c7217da0bca43b,194
mahabharata,supplementary_passages,1,1386514,Supp01.txt,01*0001_01,,01_121=0042,Fri Feb 14 2014,,10543,2285,,9d7d930f94799bc4627c42d1be53a786ed998e3e8c45c55ae950b0a83bded568,
mahabharata,supplementary_passages,2,677003,Supp02.txt,02*0001_01,,02_044_0028,Tue Mar 13 2001,,5405,664,,c01d3c73e98c58d2e396d58dd68c72f7a71b28e93d661c8f51922247782d9725,
mahabharata,supplementary_passages,3,634512,Supp03.txt,03*0001_01,,03_032_0072,Tue Mar 13 2001,,4773,1451,,8245c94d2087a9f735b173a40c199964e3c79ef6bc65f1d49cb321ad8fae545d,
mahabharata,supplementary_passages,4,776699,Supp04.txt,04*0001_01,,04_062_0014,Tue Jan 23 2024,,6281,1310,,377f12692e94549418950c2cefc680d54ae31c7cc1a0f3b2f33932514fc980a6,
mahabharata,supplementary_passages,5,256030,Supp05.txt,05*0001_01,,05_014_0022,Tue Mar 13 2001,,1931,637,,5c8c1ea9442d504ff5b3d5d6fb099cc4e35302d326de7e1aec3935fa14ebcc7f,
mahabharata,supplementary_passages,6,228086,Supp06.txt,06*0001_01,,06_005_0044,Tue Mar 13 2001,,1726,523,,5d837e91f249e4c0280685f3af3637f74b03cf3ba098949fddd935ef7cbf661d,
mahabharata,supplementary_passages,7,715690,Supp07.txt,07*0001_01,,07_025_0020,Mon Jul 23 2007,,5359,1522,,607e559587900c0217ee5e95f12e482c848127466525ab33ebb7fc7c2bd2360e,
mahabharata,supplementary_passages,8,613880,Supp08.txt,08*0001_01,,08_044=0036,Tue Mar 13 2001,,5061,1277,,a5c80a5867bea648b2799902ab144a7e4f029cf879a6fc91635748b398cf2593,
mahabharata,supplementary_passages,9,141165,Supp09.txt,09*0001_01,,09_005_0018,Tue Mar 13 2001,,1029,407,,2ded079de9d3963b43ff7bd2bd867ad1420bbe4fc6816d0f6b68a8f90ca55533,
mahabharata,supplementary_passages,10,23707,Supp10.txt,10*0001_01,,10_001_0032,Tue Mar 13 2001,,163,73,,56af7347faaaab125856c4b5b210f7af5ef2e79bc9f6be98e467e3bbad005787,
mahabharata,supplementary_passages,11,34197,Supp11.txt,11*0001_01,,11_001=0044,Tue Mar 13 2001,,245,84,,9cf707910e6b058706f8399c43b84c343167a1fbcd3ec58ab914e44370c98a6c,
mahabharata,supplementary_passages,12,872261,Supp12.txt,12*0001_01,,12_032_0019,Fri Feb 14 2014,,6591,944,,d3157730afde7b6173ba6d3a2293a7e40e4ef9569d18be67e084e9e76022b323,
mahabharata,supplementary_passages,13,1547907,Supp13.txt,13*0001_01,,13_020=0460,Tue Mar 13 2001,,12829,789,,e6e40f919181d2365f6a4adab244284c4ff60ffc647a4d340b3e0868ca16ab16,
mahabharata,supplementary_passages,14,505449,Supp14.txt,14*0001_01,,14_004=3447,Tue Mar 13 2001,,4051,202,,ff96c52504b0956d2f917a1b5d0c63aabfa0bef269824831a8fe091e909ee1c1,
mahabharata,supplementary_passages,15,26765,Supp15.txt,15*0001_01,,15*0108_02,Tue Mar 13 2001,,184,109,,f9152fce9ad640a0944c7f4ee922f250519154060b75d7dc3f6db39ccd204733,
mahabharata,supplementary_passages,16,19363,Supp16.txt,16*0001_01,,16_001_0020,Tue Mar 13 2001,,144,61,,aae86e83e944e589a3f47cbb9246da11914e23547ed236470399273e80c9d2ff,
mahabharata,supplementary_passages,17,5366,Supp17.txt,17*0001_01,,17*0014_02,Tue Mar 13 2001,,37,14,,74716011ac33b48e29b18cfe02a9e904fa0c6d82450c950958b0618e7bf98ea3,
mahabharata,supplementary_passages,18,33208,Supp18.txt,18*0001_01,,18_003_0056,Tue Mar 13 2001,,248,63,,3a5349c4779a0ebbbd2970d2218593a79668672ba08cbcf6c74008a15b76d957,
