carrier_id,textgrid_gretil_item_id,textgrid_uri,handle_pid,format,repository_extent,repository_digest_algorithm,repository_md5,relative_path,acquired,local_bytes,sha256,local_md5,repository_md5_match,xml_well_formed,tei_root,tei_xml_id,tei_license_urls,download_error
TG-GRE-C-0001,TG-GRE-0001,textgrid:48v5x.0,handle:hdl:21.11113/0000-0016-84D0-7,TEI_XML,648526,md5,98c2d887bb3a05501c883efa1018cdae,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48v5x_0.xml,True,648526,3f2fcadd91f1f57623e1c0c86e4887f9a049fc5405a1240000477db11540eeed,98c2d887bb3a05501c883efa1018cdae,True,True,TEI,xct_azvaghoSa-buddhacarita-collation,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0002,TG-GRE-0002,textgrid:48v61.0,handle:hdl:21.11113/0000-0016-84D3-4,TEI_XML,23607,md5,c3171dabf72af2da636521e0a104c844,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48v61_0.xml,True,23607,17549e336da532acf471560b36abdb5258ce11c8ebcb264986e53c560d00379a,c3171dabf72af2da636521e0a104c844,True,True,TEI,xct_tshangs-dbyangs-rgya-mtsho-i-mgul-glu,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0003,TG-GRE-0003,textgrid:48v65.0,handle:hdl:21.11113/0000-0016-84D7-0,TEI_XML,108198,md5,53d352e4e986bd2d683ebfc5985fe8f2,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48v65_0.xml,True,108198,46dcbefec31b20683e07eaf5fb21b1e8c9cfec584ebe50fc2cc09ab8cab3a511,53d352e4e986bd2d683ebfc5985fe8f2,True,True,TEI,suyagadu,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0004,TG-GRE-0004,textgrid:48v68.0,handle:hdl:21.11113/0000-0016-84DA-D,TEI_XML,119152,md5,b79cb7c6c92502d0ab9236e1fec26655,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48v68_0.xml,True,119152,d2a80fd7564631bcf8f636a3f2af6eb761f80c718d27020abd82431ee6132dbb,b79cb7c6c92502d0ab9236e1fec26655,True,True,TEI,ayarangu,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0005,TG-GRE-0005,textgrid:48v6c.0,handle:hdl:21.11113/0000-0016-84DD-A,TEI_XML,89448,md5,46f4dbcdc06f7a64e915f2855c96b508,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48v6c_0.xml,True,89448,218babc960c81f489675a90712621478915ec2dc886d0112af9263e8af38662e,46f4dbcdc06f7a64e915f2855c96b508,True,True,TEI,hadhut_u,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0006,TG-GRE-0006,textgrid:48v6g.0,handle:hdl:21.11113/0000-0016-84E0-5,TEI_XML,104090,md5,6a783476be261b94af761f3d0b778a03,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48v6g_0.xml,True,104090,8ecd52341ba7ff0027005e240c4225ecb736eca04a12b7693f3db099e55c2253,6a783476be261b94af761f3d0b778a03,True,True,TEI,dasaveyu,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0007,TG-GRE-0007,textgrid:48v6k.0,handle:hdl:21.11113/0000-0016-84E3-2,TEI_XML,125328,md5,44fa6672dd103cc3c9c5a644751d7d4d,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48v6k_0.xml,True,125328,782b206f4bf188d7b139254962046bb0f33ec2caabe735f9c593e7c4588f009f,44fa6672dd103cc3c9c5a644751d7d4d,True,True,TEI,isibhasu,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0008,TG-GRE-0008,textgrid:48v6p.0,handle:hdl:21.11113/0000-0016-84E6-F,TEI_XML,170922,md5,36b01f87643d0856a44cb28ecbdc6d8d,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48v6p_0.xml,True,170922,4e8739a911e270ea5971bfad096243779e25438674398c7572ead8b9465f1eeb,36b01f87643d0856a44cb28ecbdc6d8d,True,True,TEI,halsatsu,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0009,TG-GRE-0009,textgrid:48v6s.0,handle:hdl:21.11113/0000-0016-84E9-C,TEI_XML,281238,md5,51cfc4f00c00eb2e26b3f62d48b06e00,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48v6s_0.xml,True,281238,26250a94e570f90933c398020cdf4a8a0a9790d7b4716c395380cb3fdfe02414,51cfc4f00c00eb2e26b3f62d48b06e00,True,True,TEI,uttaraju,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0010,TG-GRE-0010,textgrid:48v6w.0,handle:hdl:21.11113/0000-0016-84EC-9,TEI_XML,1746929,md5,17061189808e43cbf2173fa1ca9a01b3,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48v6w_0.xml,True,1746929,ea1e724655a24c897e704a31955fc7fa74770d2d1cb6417d656c4e186803d0d0,17061189808e43cbf2173fa1ca9a01b3,True,True,TEI,spaucaru,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0011,TG-GRE-0011,textgrid:48vc3.0,handle:hdl:21.11113/0000-0016-84F5-E,TEI_XML,11781,md5,a4f0be3800d0d666c8c6023e7c5a4443,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48vc3_0.xml,True,11781,0b1715d394e5f434c694adac91a3655e5754b112636cb6881db8644dcf2ccc86,a4f0be3800d0d666c8c6023e7c5a4443,True,True,TEI,oj_kalpbudu,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0012,TG-GRE-0012,textgrid:48vc6.0,handle:hdl:21.11113/0000-0016-84F8-B,TEI_XML,93120,md5,2c17311c1eb23e1b39d47d1f96ac3d01,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48vc6_0.xml,True,93120,cc1cf882db49951ada1f42fd3e8cbfe7203d3106135eb0417ac825d281e9929b,2c17311c1eb23e1b39d47d1f96ac3d01,True,True,TEI,oj_sanghy_u,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0013,TG-GRE-0013,textgrid:48vc9.0,handle:hdl:21.11113/0000-0016-84FB-8,TEI_XML,63250,md5,050493a663b27ef3da94674c163211ee,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48vc9_0.xml,True,63250,4a005147acddb477bff2a1b9c69f546426477f9f631778c75186ef5f4a607285,050493a663b27ef3da94674c163211ee,True,True,TEI,oj_ganapatu,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0014,TG-GRE-0014,textgrid:48vcd.0,handle:hdl:21.11113/0000-0016-84FE-5,TEI_XML,48912,md5,a520b96efe9cf9b7450d98b63f4ab5c6,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_48vcd_0.xml,True,48912,6d232a2affaec46c06bca6feb8edc2648e4690fcca4179b0b508796c0e72da0a,a520b96efe9cf9b7450d98b63f4ab5c6,True,True,TEI,oj_mahjna_u,https://creativecommons.org/licenses/by-nc-sa/4.0/,
