textgrid_gretil_item_id,title,author,collection,work_uri,edition_uri,text_uri,handle_pid,license_url,license_statement,rights_holder,rights_lane,agent_can_index_now,source_url,next_action
TG-GRE-0001,Buddhacarita 1-23 (Tibetan translation),Aśvaghoṣa,tibetan,textgrid:48v5w.0,textgrid:48v5z.0,textgrid:48v5x.0,handle:hdl:21.11113/0000-0016-84D0-7,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48v5z.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0002,mgul glu,Tshangs-dbyangs-rgya-mtsho,tibetan,textgrid:48v60.0,textgrid:48v62.0,textgrid:48v61.0,handle:hdl:21.11113/0000-0016-84D3-4,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48v62.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0003,Sūyagaḍa,,prakrit,textgrid:48v64.0,textgrid:48v66.0,textgrid:48v65.0,handle:hdl:21.11113/0000-0016-84D7-0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48v66.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0004,Āyāraṃga,,prakrit,textgrid:48v67.0,textgrid:48v69.0,textgrid:48v68.0,handle:hdl:21.11113/0000-0016-84DA-D,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48v69.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0005,Dhuttakkhāṇa,Haribhadra,prakrit,textgrid:48v6b.0,textgrid:48v6d.0,textgrid:48v6c.0,handle:hdl:21.11113/0000-0016-84DD-A,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48v6d.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0006,Dasaveyāliya,,prakrit,textgrid:48v6f.0,textgrid:48v6h.0,textgrid:48v6g.0,handle:hdl:21.11113/0000-0016-84E0-5,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48v6h.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0007,Isibhāsiyāiṃ,,prakrit,textgrid:48v6j.0,textgrid:48v6m.0,textgrid:48v6k.0,handle:hdl:21.11113/0000-0016-84E3-2,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48v6m.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0008,Sattasaī,Hāla,prakrit,textgrid:48v6n.0,textgrid:48v6q.0,textgrid:48v6p.0,handle:hdl:21.11113/0000-0016-84E6-F,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48v6q.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0009,Uttarajjhayaṇa,,prakrit,textgrid:48v6r.0,textgrid:48v6t.0,textgrid:48v6s.0,handle:hdl:21.11113/0000-0016-84E9-C,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48v6t.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0010,Paümacariu,Svayambhūdeva,prakrit,textgrid:48v6v.0,textgrid:48v6x.0,textgrid:48v6w.0,handle:hdl:21.11113/0000-0016-84EC-9,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48v6x.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0011,Kalpabuddha,,Old Javanese Collection,textgrid:48vc2.0,textgrid:48vc4.0,textgrid:48vc3.0,handle:hdl:21.11113/0000-0016-84F5-E,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48vc4.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0012,Saṅ Hyaṅ Kamahāyānikan,,Old Javanese Collection,textgrid:48vc5.0,textgrid:48vc7.0,textgrid:48vc6.0,handle:hdl:21.11113/0000-0016-84F8-B,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48vc7.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0013,Gaṇapatitattva,,Old Javanese Collection,textgrid:48vc8.0,textgrid:48vcb.0,textgrid:48vc9.0,handle:hdl:21.11113/0000-0016-84FB-8,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48vcb.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0014,Saṅ Hyaṅ Mahājñāna,,Old Javanese Collection,textgrid:48vcc.0,textgrid:48vcf.0,textgrid:48vcd.0,handle:hdl:21.11113/0000-0016-84FE-5,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48vcf.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0015,Ślokāntara,,Old Javanese Collection,textgrid:48vcg.0,textgrid:48vcj.0,textgrid:48vch.0,handle:hdl:21.11113/0000-0016-8501-0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:48vcj.0,Keep restricted; obtain permission or exclude from public/commercial use.
