queue_id,source_record_id,record_type,title,provider,planning_bucket,priority,primary_route,source_url,rights_clearance_status,status_basis,manual_note,done_definition
AQ-00001,COR-0001,MASTER_CORPUS_TARGET,Rigveda Samhita — Shakala recension,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00002,COR-0002,MASTER_CORPUS_TARGET,Rigveda Samhita — Bashkala fragments and Khilani,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00003,COR-0003,MASTER_CORPUS_TARGET,Samaveda Samhita — Kauthuma recension,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00004,COR-0004,MASTER_CORPUS_TARGET,Samaveda Samhita — Ranayaniya recension,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00005,COR-0005,MASTER_CORPUS_TARGET,Samaveda Samhita — Jaiminiya/Talavakara recension,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00006,COR-0006,MASTER_CORPUS_TARGET,Shukla Yajurveda — Vajasaneyi Madhyandina Samhita,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00007,COR-0007,MASTER_CORPUS_TARGET,Shukla Yajurveda — Vajasaneyi Kanva Samhita,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00008,COR-0008,MASTER_CORPUS_TARGET,Krishna Yajurveda — Taittiriya Samhita,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00009,COR-0009,MASTER_CORPUS_TARGET,Krishna Yajurveda — Maitrayani Samhita,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
AQ-00010,COR-0010,MASTER_CORPUS_TARGET,Krishna Yajurveda — Katha Samhita,GRETIL|Ambuda|Internet Archive|institutional catalogues,A_AGENT_CAN_DOWNLOAD_OR_INDEX,P0,AGENT_DOWNLOAD_RIGHTS_REVIEW,,MIXED_OR_UNKNOWN,Target is enumerated but its edition/witness population and completeness are not reconciled.,,"All required versions, recensions, editions, witnesses and representations enumerated; payloads acquired; rights routed; expected structure reconciled; content index verified; evidence linked."
